,start_pin,destination_pin,travel_distance,quantity_tons,period,nifty_infra_price,amount
6798,504218,431509,401,32.0,September 2023,6242.85,187500.8
6799,504218,431602,337,38.48,September 2023,6242.85,162938.56
6800,504218,440034,301,25.0,August 2023,5947.0,400390.25
6801,504218,444606,435,33.47,September 2023,6242.85,167350.0
6802,504218,480001,423,458.3,August 2023,5947.0,1626965.0
6803,504218,500032,312,29.59,August 2023,5947.0,134079.69
6804,504218,500032,312,29.99,September 2023,6242.85,135892.19
6805,505187,440026,354,31.0,September 2023,6242.85,1307812.5
6806,505187,481001,436,392.4,August 2023,5947.0,919687.5
6807,508204,494556,366,31.0,August 2023,5947.0,113828.13
6808,508204,503001,374,37.84,August 2023,5947.0,138943.56
6809,508204,503321,391,36.0,August 2023,5947.0,168750.0
6810,508204,509120,354,35.84,August 2023,5947.0,162400.0
6811,508204,515134,621,10.0,September 2023,6242.85,53593.75
6812,508204,516104,488,2.0,September 2023,6242.85,21375.0
6813,508204,517408,630,32.0,August 2023,5947.0,504457.42
6814,508204,517588,530,2.0,September 2023,6242.85,12031.25
6815,508204,518124,485,1.0,August 2023,5947.0,4953.12
6816,508204,530013,506,32.0,September 2023,6242.85,182500.0
6817,508204,530027,498,31.0,September 2023,6242.85,195687.5
6818,508204,532322,735,10.0,September 2023,6242.85,56718.75
6819,508204,532455,701,5.0,September 2023,6242.85,55781.24
6820,508204,533001,350,35.02,September 2023,6242.85,169628.13
6821,508204,533408,375,34.88,September 2023,6242.85,146809.22
6822,508204,572116,678,10.0,August 2023,5947.0,55781.25
6823,508204,600063,600,30.1,September 2023,6242.85,98765.63
6824,508204,635751,749,21.0,August 2023,5947.0,124031.25
6825,508204,764047,383,32.0,August 2023,5947.0,1106000.0
6826,508207,509102,350,35.0,September 2023,6242.85,158593.75
6827,508218,504206,472,18.0,August 2023,5947.0,197305.31
6828,508218,524101,359,36.0,August 2023,5947.0,435555.0
6829,508218,585402,336,26.0,August 2023,5947.0,283920.0
6830,508246,431512,552,11.0,August 2023,5947.0,38671.6
6831,508246,503212,398,12.0,September 2023,6242.85,137812.8
6832,508246,503309,403,6.0,September 2023,6242.85,26250.0
6833,508246,505402,334,29.59,September 2023,6242.85,143326.27
6834,508246,530041,489,36.0,September 2023,6242.85,1954260.0
6835,508246,531001,468,6.0,August 2023,5947.0,34687.2
6836,508246,531028,460,1.0,September 2023,6242.85,17202.0
6837,508246,533107,305,9.0,August 2023,5947.0,35163.0
6838,508246,533287,328,34.55,September 2023,6242.85,167351.56
6839,508246,533447,392,15.0,August 2023,5947.0,83202.0
6840,508246,765013,500,34.62,September 2023,6242.85,146053.13
6841,508355,431515,549,671.88,September 2023,6242.85,1914753.19
6842,508355,533201,335,24.5,September 2023,6242.85,122117.19
6843,508355,534260,320,17.0,August 2023,5947.0,201875.01
6844,515201,500018,473,11.0,August 2023,5947.0,56718.0
6845,515408,570020,465,18.0,August 2023,5947.0,154687.5
6846,515408,600041,417,26.0,September 2023,6242.85,420468.75
6847,515408,614804,742,31.0,August 2023,5947.0,155000.0
6848,515408,620026,637,31.0,August 2023,5947.0,290625.0
6849,515408,632106,335,26.0,August 2023,5947.0,103593.75
6850,515408,636803,424,4.0,September 2023,6242.85,15277.44
6851,515408,636903,481,2.0,August 2023,5947.0,7594.54
6852,515408,638104,561,31.0,August 2023,5947.0,101718.75
6853,515415,581104,398,25.0,September 2023,6242.85,132812.5
6854,515415,605602,531,16.0,September 2023,6242.85,68750.0
6855,516289,572106,346,4.0,August 2023,5947.0,14700.0
6856,516289,577101,514,35.04,August 2023,5947.0,366826.0
6857,516289,600077,319,25.28,September 2023,6242.85,79898.96
6858,516289,635108,301,25.0,August 2023,5947.0,129765.0
6859,516289,638056,543,40.22,September 2023,6242.85,210527.0
6860,516289,638116,530,40.1,August 2023,5947.0,203633.0
6861,516289,638451,593,60.0,September 2023,6242.85,3756720.0
6862,516309,577527,421,29.46,August 2023,5947.0,146379.38
6863,516310,577548,457,38.0,September 2023,6242.85,368125.0
6864,516311,600032,364,39.86,August 2023,5947.0,196186.0
6865,516311,600056,353,37.14,September 2023,6242.85,285152.0
6866,516311,600077,340,39.66,August 2023,5947.0,195202.0
6867,516311,604403,346,34.34,September 2023,6242.85,169017.0
6868,516433,500075,365,35.57,August 2023,5947.0,155618.75
6869,516433,500098,382,31.0,August 2023,5947.0,377812.49
6870,516433,515311,314,25.0,August 2023,5947.0,144531.24
6871,516433,517646,309,31.56,August 2023,5947.0,165196.88
6872,516433,522616,399,20.0,September 2023,6242.85,118750.0
6873,516433,524401,345,10.0,August 2023,5947.0,467187.46
6874,516433,560043,325,30.0,August 2023,5947.0,175902.0
6875,516433,560048,333,40.3,September 2023,6242.85,214093.75
6876,516433,560049,321,3.0,August 2023,5947.0,28359.37
6877,516433,562114,318,5.0,September 2023,6242.85,21484.37
6878,516433,562123,344,3.0,September 2023,6242.85,19593.75
6879,516433,573220,493,40.0,August 2023,5947.0,206250.0
6880,516433,587311,481,26.0,August 2023,5947.0,544375.0
6881,516433,591108,505,20.0,September 2023,6242.85,107812.5
6882,516433,605010,506,50.0,September 2023,6242.85,300781.25
6883,516433,673003,688,60.0,September 2023,6242.85,482512.32
6884,518123,572117,365,,August 2023,5947.0,103594.6
6885,518123,577533,369,2.34,September 2023,6242.85,8377.2
6886,518123,580020,349,34.32,August 2023,5947.0,160875.0
6887,518123,580020,349,34.5,September 2023,6242.85,161718.75
6888,518123,631003,367,40.38,August 2023,5947.0,563301.0
6889,518123,636115,514,34.7,August 2023,5947.0,284540.0
6890,518123,636115,514,39.44,September 2023,6242.85,321436.0
6891,518123,636115,514,40.32,August 2023,5947.0,165312.0
6892,518124,502032,310,4.82,September 2023,6242.85,18816.65
6893,518124,517590,335,31.92,August 2023,5947.0,149625.0
6894,518124,560064,320,42.0,August 2023,5947.0,3353407.34
6895,518124,562114,325,40.8,September 2023,6242.85,143437.3
6896,518124,563114,379,34.44,August 2023,5947.0,172200.0
6897,518124,563130,343,43.04,August 2023,5947.0,218562.28
6898,518124,573211,490,22.0,September 2023,6242.85,123750.0
6899,518124,602117,418,30.0,August 2023,5947.0,147600.0
6900,518124,638052,609,40.18,August 2023,5947.0,226213.4
6901,518206,630302,781,,September 2023,6242.85,129872.74
6902,518206,637301,575,12.57,August 2023,5947.0,39281.25
6903,518206,637301,575,39.18,August 2023,5947.0,122437.5
6904,518220,524403,389,10.0,August 2023,5947.0,55468.0
6905,518220,562119,396,18.5,August 2023,5947.0,103195.0
6906,518220,570017,460,1.0,September 2023,6242.85,380846.0
6907,518220,577120,467,1.0,August 2023,5947.0,5578.0
6908,518220,582206,333,4.0,September 2023,6242.85,42624.0
6909,518220,600124,417,1.0,August 2023,5947.0,37184.0
6910,518220,632403,374,36.0,September 2023,6242.85,195187.0
6911,518220,638183,558,10.0,September 2023,6242.85,60469.0
6912,518508,577001,424,34.84,August 2023,5947.0,160590.62
6913,518508,608001,582,10.0,August 2023,5947.0,120320.0
6914,518508,632014,351,26.0,September 2023,6242.85,195528.12
6915,521175,523373,334,17.0,August 2023,5947.0,100140.71
6916,521175,530012,455,30.62,August 2023,5947.0,144263.07
6917,521175,531027,467,31.0,September 2023,6242.85,2276564.36
6918,521175,531061,428,29.88,September 2023,6242.85,144731.25
6919,521175,531061,428,32.06,August 2023,5947.0,155290.63
6920,521175,532440,607,31.0,August 2023,5947.0,312422.03
