,start_pin,destination_pin,travel_distance,Quantity (In TON),period,nifty_infra_price,amount,distance_per_ton,route_frequency,avg_route_price,period_dt,year,month,month_sin,month_cos
167,360,2252,402,41.44,October 2023,6095.4,822376.8,9.700772200772201,21,462605.98714285716,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
168,363,1387,417,42.0,October 2023,6095.4,1013748.96,9.928571428571429,1,1013748.96,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
169,363,2029,573,40.96,October 2023,6095.4,589824.0,13.9892578125,5,266275.6,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
170,379,1256,516,323.5,October 2023,6095.4,1228653.0,1.5950540958268933,2,984061.8,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
171,379,1539,411,42.0,October 2023,6095.4,956808.0,9.785714285714286,1,956808.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
172,380,1476,315,42.0,October 2023,6095.4,190312.5,7.5,1,190312.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
173,380,2194,310,5.0,October 2023,6095.4,154687.5,62.0,2,302078.13,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
174,380,2438,510,22.0,October 2023,6095.4,89375.0,23.181818181818183,5,187687.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
175,380,3398,456,28.0,October 2023,6095.4,185640.0,16.285714285714285,3,131374.16666666666,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
176,390,233,304,21.0,October 2023,6095.4,199500.0,14.476190476190476,13,300433.0838461538,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
177,390,261,351,10.0,October 2023,6095.4,70781.0,35.1,2,65156.125,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
178,390,297,422,27.0,November 2023,6585.6,1085400.0,15.62962962962963,9,695236.7777777778,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
179,390,417,473,5.0,November 2023,6585.6,75375.0,94.6,4,116950.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
180,392,31,510,41.42,November 2023,6585.6,236223.44,12.312892322549493,2,231546.875,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
181,392,151,565,41.84,October 2023,6095.4,451087.5,13.5038240917782,2,339717.185,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
182,392,1360,414,43.0,November 2023,6585.6,937937.5,9.627906976744185,1,937937.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
