start_pin,destination_pin,bharat_sir_eway_data_oct23_nov23_020424.origin_from_state,bharat_sir_eway_data_oct23_nov23_020424.destination_from_state,bharat_sir_eway_data_oct23_nov23_020424.rtn_period,travel_distance,bharat_sir_eway_data_oct23_nov23_020424.transport_mode,bharat_sir_eway_data_oct23_nov23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_oct23_nov23_020424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_oct23_nov23_020424.total_tax,bharat_sir_eway_data_oct23_nov23_020424.ewbs_count,bharat_sir_eway_data_oct23_nov23_020424.supplier_gstin_cnt,Cost pre Km per TON
365560,391243,24,24,202311,371,1,@2523,29.62,MTS,29.62,509557.02,142675.98,3,1,46.3696508
370511,363641,24,24,202310,321,1,@2523,41.89,MTS,41.89,245449,68726,1,1,18.2534884
370511,364004,24,24,202311,575,1,@2523,42,MTS,42,623436,0,2,1,25.81515528
370511,380001,24,24,202310,485,1,@2523,36.95,MTS,36.95,1044990,292600,5,1,58.3117336
370511,380051,24,24,202310,478,1,@2523,41.9,MTS,41.9,451734,126484,2,1,22.55489759
370511,382007,24,24,202311,506,1,@2523,35.66,MTS,35.66,203373.62,56944.62,1,1,11.27100814
370511,382418,24,24,202310,503,1,@2523,35.64,MTS,35.64,217181.25,60810.76,1,1,12.11481113
370511,392150,24,24,202311,613,1,@2523,35,MTS,35,213451.35,0,1,1,9.948792822
380004,361315,24,24,202311,415,1,@2523,760,BAG,38,1253620,351013.6,5,1,79.4939759
383430,313333,24,8,202310,311,1,@2523,620,   ,,122304.69,34245.31,1,1,#DIV/0!
388245,396125,24,24,202311,311,1,@2523,32.55,MTS,32.55,190722.82,53402.4,1,1,18.84045026
388245,396125,24,24,202311,311,1,@2523,35.44,MTS,35.44,830625.72,232575.28,4,1,75.36180166
388245,396125,24,24,202311,311,1,@2523,35.65,MTS,35.65,208886.9,58488.34,1,1,18.84045043
391350,312601,24,8,202311,477,1,@2523,0.1,TON,0.1,1443.74,404.26,2,1,30.26708595
394101,361170,24,24,202310,553,1,@2523,696,BAG,34.8,198360,55540,1,1,10.3074141
400703,380023,27,24,202311,534,1,@2523,834,bag,41.7,512076,143381.28,2,1,22.99625468
400707,384450,23,24,202310,604,1,@2523,600,BAG,30,330000,92400,1,1,18.21192053
412219,401603,27,27,202311,350,1,@2523,19,MTS,19,238093.4,66666.16,2,1,35.8035188
421503,822114,27,20,202311,1867,1,@2523,1325,BAG,66.25,424000,118720,1,1,3.427959293
425309,391350,27,24,202311,475,1,@2523,35,MTS,35,143850,40278,1,1,8.652631579
